Date,Open,High,Low,Close,Adj Close,Volume
02/01/2019,226.179993,230.850006,226.020004,229.990005,212.930176,4891300
03/01/2019,228.100006,228.419998,223.970001,224.5,207.847397,3329600
04/01/2019,227.539993,232.619995,227.149994,231.910004,214.707733,5100100
07/01/2019,232.289993,235.229996,231.320007,233.649994,216.318665,3706000
08/01/2019,236.050003,236.460007,233.429993,235.919998,218.420319,3546600
09/01/2019,236.710007,237.940002,235.460007,237.009995,219.429428,4565000
10/01/2019,235.649994,238.169998,234.850006,238,220.346008,2813500
11/01/2019,236.850006,238,236.240005,237.889999,220.244186,2551000
14/01/2019,236.100006,237.389999,235.690002,236.580002,219.031357,2653400
15/01/2019,236.970001,239.589996,236.970001,239.350006,221.595917,5103700
16/01/2019,239.720001,240.770004,239.520004,239.880005,222.086563,4066700
17/01/2019,239,242.550003,238.949997,241.669998,223.74379,3059000
18/01/2019,243.559998,245.369995,242.759995,244.919998,226.752716,4943300
22/01/2019,243.389999,243.580002,239.970001,241.660004,223.734543,5786300
23/01/2019,242.679993,243.339996,239.580002,242.020004,224.067841,3076400
24/01/2019,241.899994,242.820007,240.910004,242.259995,224.290039,2197100
25/01/2019,244.110001,245.110001,243.669998,244.320007,226.197266,3677500
28/01/2019,242.089996,242.490005,240.630005,242.429993,224.447403,2407800
29/01/2019,242.550003,243.119995,241.270004,242.130005,224.169662,2436900
30/01/2019,243.660004,246.779999,242.880005,245.960007,227.715561,6028400
31/01/2019,245.860001,248.529999,245.679993,248.009995,229.613541,5308100
01/02/2019,248.309998,249.289993,247.460007,248.220001,229.807953,3718500
04/02/2019,248.300003,250.020004,247.589996,249.990005,231.446655,2541700
05/02/2019,250.440002,251.330002,249.919998,251.100006,232.474304,3613300
06/02/2019,250.75,251.220001,249.949997,250.789993,232.187302,2052200
07/02/2019,249.039993,249.580002,246.619995,248.330002,229.909775,3907800
08/02/2019,247.009995,248.710007,246.199997,248.649994,230.206039,2512600
11/02/2019,249.279999,249.509995,248.220001,248.779999,230.326385,2986600
12/02/2019,250.380005,252.360001,250.339996,252,233.307495,5980500
13/02/2019,252.820007,253.660004,252.389999,252.759995,234.011139,3569100
14/02/2019,251.649994,253.360001,250.830002,252.199997,233.492722,3247800
15/02/2019,254.029999,255,253.809998,254.979996,236.066498,2806600
19/02/2019,254.149994,256.089996,254.149994,255.419998,236.473877,2509300
20/02/2019,255.410004,256.380005,254.889999,256.01001,237.020111,2156300
21/02/2019,255.330002,255.639999,254.039993,255.080002,236.159103,2020000
22/02/2019,255.690002,256.809998,255.449997,256.609985,237.575577,2119400
25/02/2019,258.089996,258.609985,256.880005,256.98999,237.927414,2941300
26/02/2019,256.549988,257.640015,256.410004,256.799988,237.751511,4629600
27/02/2019,256.059998,257.019989,255.100006,256.670013,237.631134,2136400
28/02/2019,256.420013,256.880005,255.850006,256.070007,237.075684,2207000
01/03/2019,257.809998,258.209991,256.329987,257.829987,238.705048,2867000
04/03/2019,258.869995,259.100006,254.490005,256.839996,237.788544,3384200
05/03/2019,256.98999,257.170013,255.960007,256.540009,237.510788,2475900
06/03/2019,256.619995,256.619995,254.600006,254.899994,235.992432,2514900
07/03/2019,254.479996,254.600006,251.949997,252.850006,234.094528,6441200
08/03/2019,250.880005,252.449997,250.339996,252.339996,233.62236,4522300
11/03/2019,253.039993,256.119995,253.020004,256.019989,237.029327,1884200
12/03/2019,256.519989,257.459991,256.369995,256.929993,237.871857,2271900
13/03/2019,257.839996,259.589996,257.690002,258.679993,239.492081,1974300
14/03/2019,258.679993,259.119995,258.040009,258.589996,239.408722,1557500
15/03/2019,259.019989,260.570007,258.869995,259.850006,240.575272,3151200
18/03/2019,260,260.98999,259.769989,260.779999,241.436295,1830000
19/03/2019,261.809998,262.589996,259.880005,260.859985,241.510284,4061800
20/03/2019,260.540009,261.769989,258.839996,259.929993,240.649368,3415200
21/03/2019,257.679993,261.859985,257.679993,261.429993,243.400513,2968300
22/03/2019,260.070007,260.609985,256.369995,256.459991,238.77327,4317400
25/03/2019,256.089996,257.279999,254.949997,256.230011,238.559158,2893600
26/03/2019,258.01001,259.119995,256.730011,258.079987,240.281555,3177600
27/03/2019,258.149994,258.730011,255.229996,256.880005,239.164337,2714300
28/03/2019,257.450012,258.220001,256.269989,257.880005,240.095383,1716700
29/03/2019,259.339996,259.720001,258.179993,259.540009,241.640884,2831100
01/04/2019,261.459991,262.779999,261.190002,262.529999,244.424652,3303900
02/04/2019,262.670013,262.850006,261.809998,262.619995,244.508469,1512600
03/04/2019,263.869995,264.25,262.399994,263.109985,244.964645,1933900
04/04/2019,263.369995,263.959991,262.670013,263.73999,245.551239,1738500
05/04/2019,264.420013,265.059998,264.119995,265.01001,246.733673,1505000
08/04/2019,264.570007,265.309998,263.910004,265.23999,246.947784,1720100
09/04/2019,264.220001,264.540009,263.290009,263.829987,245.635071,2016900
10/04/2019,264.25,264.839996,263.850006,264.73999,246.482239,2990600
11/04/2019,265.23999,265.23999,264.089996,264.690002,246.435791,1567700
12/04/2019,266.329987,266.769989,265.630005,266.480011,248.102295,1903400
15/04/2019,266.570007,266.640015,265.470001,266.299988,247.934616,1584500
16/04/2019,267.200012,267.23999,265.859985,266.48999,248.111588,2447700
17/04/2019,267.589996,267.609985,265.399994,265.839996,247.506378,1872400
18/04/2019,266.440002,266.600006,265.079987,266.339996,247.971893,2788900
22/04/2019,265.559998,266.709991,265.470001,266.600006,248.214005,1126500
23/04/2019,266.959991,269.190002,266.709991,268.899994,250.355377,2618300
24/04/2019,268.890015,269.209991,268.230011,268.369995,249.861893,1393400
25/04/2019,268.279999,268.880005,266.980011,268.269989,249.768784,1237400
26/04/2019,268.279999,269.540009,267.459991,269.5,250.913971,2172600
29/04/2019,269.559998,270.410004,269.459991,269.839996,251.230499,1892500
30/04/2019,269.559998,270.309998,268.109985,270.01001,251.388809,2024600
01/05/2019,270.679993,270.869995,268,268.040009,249.554672,2669400
02/05/2019,267.880005,268.799988,265.929993,267.51001,249.061188,3009000
03/05/2019,268.920013,270.320007,268.700012,270.049988,251.426102,1969000
06/05/2019,265.649994,269.359985,265.309998,268.980011,250.429871,3966900
07/05/2019,266.480011,267.079987,262.480011,264.619995,246.37059,4752500
08/05/2019,264.140015,265.820007,263.470001,264.100006,245.886368,2662500
09/05/2019,261.940002,263.839996,260.200012,263.290009,245.132294,3094800
10/05/2019,262.369995,265.380005,259.269989,264.519989,246.277466,3131900
13/05/2019,259.369995,260.339996,257.070007,258.029999,240.235016,5548200
14/05/2019,258.98999,261.820007,258.839996,260.269989,242.320572,4702600
15/05/2019,258.630005,262.450012,258.399994,261.809998,243.754349,2444100
16/05/2019,262.470001,265.600006,262.450012,264.209991,245.988754,3221500
17/05/2019,261.890015,265.019989,261.859985,262.609985,244.499115,2719500
20/05/2019,260.899994,262.109985,260.019989,260.820007,242.832626,2762600
21/05/2019,262.5,263.51001,262.25,263.029999,244.890182,2760500
22/05/2019,262.119995,263.290009,261.869995,262.309998,244.219849,3421500
23/05/2019,260.079987,260.100006,257.679993,259.23999,241.361572,3813200
24/05/2019,260.600006,260.98999,259.059998,259.690002,241.780548,1833100
28/05/2019,259.959991,260.959991,257.290009,257.359985,239.611191,2565900
29/05/2019,256.130005,256.519989,254.100006,255.589996,237.963303,4593500
30/05/2019,256.279999,257.179993,255.139999,256.299988,238.624313,2977200
31/05/2019,253.630005,254.490005,252.770004,252.869995,235.430878,3698600
03/06/2019,252.830002,253.960007,250.770004,252.119995,234.732574,3825600
04/06/2019,254.479996,257.76001,254.029999,257.670013,239.899887,3536300
05/06/2019,259.23999,259.880005,257.420013,259.850006,241.92952,2646500
06/06/2019,260.170013,262.26001,259.51001,261.540009,243.50296,2277500
07/06/2019,262.619995,265.290009,262.450012,264.149994,245.932953,1877400
10/06/2019,265.76001,267.100006,265.299988,265.390015,247.087448,2845900
11/06/2019,267.25,267.649994,264.690002,265.339996,247.040848,1894500
12/06/2019,265.119995,265.700012,264.359985,264.839996,246.575378,1711900
13/06/2019,265.820007,266.359985,265.109985,266.019989,247.673996,1813700
14/06/2019,265.709991,266.290009,264.910004,265.619995,247.30159,1203300
17/06/2019,265.940002,266.559998,265.619995,265.859985,247.524963,1782500
18/06/2019,267.649994,269.660004,267.299988,268.51001,249.992264,2340700
19/06/2019,268.73999,269.720001,267.76001,269.220001,250.653305,1684500
20/06/2019,271.940002,272.190002,269.730011,271.730011,252.990204,3288100
21/06/2019,271.529999,272.790009,271.170013,271.410004,252.692322,2226000
24/06/2019,271.589996,271.920013,270.899994,271.059998,252.36644,3518400
25/06/2019,271.100006,271.130005,268.269989,268.380005,249.871216,2287100
26/06/2019,269.299988,269.820007,268.019989,268.119995,249.629166,2988700
27/06/2019,267.48999,268.190002,267.170013,267.670013,250.505173,2054600
28/06/2019,268.700012,269.549988,268.179993,269.149994,251.890289,2883300
01/07/2019,272.459991,272.649994,270.299988,271.440002,254.033356,4497900
02/07/2019,271.470001,272.25,270.619995,272.230011,254.772797,3040700
03/07/2019,272.910004,274.369995,272.76001,274.320007,256.728668,2335800
05/07/2019,273.140015,274.25,271.859985,273.970001,256.401123,3362500
08/07/2019,272.790009,273.059998,272.029999,272.600006,255.118988,3131800
09/07/2019,271.399994,273.220001,271.339996,272.940002,255.437149,2532900
10/07/2019,274.019989,275.190002,273.459991,274.209991,256.625732,2853200
11/07/2019,274.869995,275.109985,273.850006,274.76001,257.140472,2249400
12/07/2019,275.390015,276.190002,275.059998,276.109985,258.4039,2932300
15/07/2019,276.529999,276.549988,275.709991,276.179993,258.469421,1466200
16/07/2019,276.119995,276.269989,274.98999,275.279999,257.627106,1564000
17/07/2019,275.279999,275.399994,273.420013,273.420013,255.886429,1758100
18/07/2019,272.910004,274.790009,272.470001,274.420013,256.822266,3461100
19/07/2019,275.519989,275.540009,272.700012,272.950012,255.446548,2319400
22/07/2019,273.320007,274.109985,272.790009,273.609985,256.06424,1304100
23/07/2019,274.709991,275.5,273.890015,275.48999,257.823639,1753000
24/07/2019,274.779999,276.790009,274.670013,276.76001,259.012268,1669900
25/07/2019,276.410004,276.410004,274.679993,275.410004,257.74881,1874200
26/07/2019,276.200012,277.549988,276.100006,277.380005,259.592407,1796900
29/07/2019,277.230011,277.269989,276.26001,276.880005,259.124573,2925900
30/07/2019,275.450012,276.559998,275.040009,276.209991,258.497437,1751100
31/07/2019,276.390015,276.609985,271.070007,273.079987,255.568222,4910000
01/08/2019,273.279999,276.279999,269.940002,270.790009,253.425064,6921000
02/08/2019,269.890015,270.079987,267.149994,268.809998,251.572052,5310400
05/08/2019,264.570007,264.679993,258.700012,260.880005,244.150574,7354000
06/08/2019,262.529999,264.470001,261.059998,264.23999,247.295105,4366800
07/08/2019,261.160004,265.230011,258.98999,264.420013,247.463562,4261200
08/08/2019,266,269.589996,265.399994,269.579987,252.292664,3618800
09/08/2019,268.720001,269.290009,266,267.700012,250.533203,2616300
12/08/2019,266.23999,266.790009,263.570007,264.559998,247.594589,2104500
13/08/2019,264.220001,270.100006,263.910004,268.660004,251.431686,3402300
14/08/2019,264.559998,265.149994,260.570007,260.570007,243.860428,4354800
15/08/2019,261.619995,262.269989,259.339996,261.390015,244.627838,2775200
16/08/2019,263.070007,265.679993,263.019989,265.220001,248.212296,2432700
19/08/2019,268.359985,269.140015,267.640015,268.480011,251.26326,1430800
20/08/2019,267.980011,268.48999,266.290009,266.399994,249.316574,1865000
21/08/2019,268.579987,268.929993,267.920013,268.559998,251.338058,2007400
22/08/2019,269.279999,269.910004,266.700012,268.459991,251.244492,1883700
23/08/2019,267.190002,268.839996,260.329987,261.570007,244.796326,4184200
26/08/2019,263.809998,264.470001,262.269989,264.470001,247.510361,2260000
27/08/2019,265.920013,266.26001,262.709991,263.429993,246.537018,2490400
28/08/2019,262.730011,265.450012,262,265.26001,248.249695,3124000
29/08/2019,267.910004,269.230011,266.899994,268.709991,251.47847,3128700
30/08/2019,270.149994,270.209991,267.660004,268.600006,251.375519,4209200
03/09/2019,266.829987,267.799988,265.679993,267.109985,249.981064,3368500
04/09/2019,269.25,270.059998,268.480011,269.970001,252.657684,1486100
05/09/2019,272.570007,274.440002,272.459991,273.540009,255.998688,1755800
06/09/2019,273.929993,274.390015,273.190002,273.73999,256.185883,1890800
09/09/2019,274.799988,274.829987,272.959991,273.809998,256.251373,2158500
10/09/2019,273.109985,273.880005,271.869995,273.869995,256.307587,1870400
11/09/2019,274.149994,275.839996,273.5,275.839996,258.151215,2080300
12/09/2019,276.709991,277.799988,275.940002,276.649994,258.90921,2433700
13/09/2019,277.209991,277.540009,276.149994,276.579987,258.843689,2292000
16/09/2019,275.380005,276.100006,275.040009,275.670013,257.992157,1432400
17/09/2019,275.459991,276.480011,275.339996,276.420013,258.694061,1789200
18/09/2019,276,276.679993,273.950012,276.589996,258.853149,2028700
19/09/2019,277,277.980011,276.230011,276.529999,258.796936,2267900
20/09/2019,277.179993,277.410004,274.5,275.049988,257.411896,2052700
23/09/2019,274.589996,275.899994,274.329987,275.23999,257.589722,1286400
24/09/2019,276.309998,276.679993,272.059998,272.959991,255.455887,5124900
25/09/2019,273.079987,275.079987,271.600006,274.630005,257.018829,2649200
26/09/2019,273.339996,273.549988,271.350006,272.790009,256.511993,2355000
27/09/2019,273.559998,273.589996,269.720001,271.26001,255.073273,2836500
30/09/2019,271.820007,273.269989,271.790009,272.600006,256.333313,2735200
01/10/2019,273.440002,274.079987,269.089996,269.320007,253.249084,3696000
02/10/2019,267.730011,267.730011,263.25,264.570007,248.78244,4463500
03/10/2019,264.350006,266.730011,261.589996,266.670013,250.757187,2988800
04/10/2019,267.450012,270.559998,267.359985,270.369995,254.236359,1907800
07/10/2019,269.559998,271.160004,268.899994,269.209991,253.145599,1821900
08/10/2019,267.279999,268.019989,264.959991,265.029999,249.214996,2153100
09/10/2019,267.040009,268.440002,266.390015,267.5,251.537628,1921200
10/10/2019,267.420013,270.200012,267.25,269.320007,253.249084,1559300
11/10/2019,272.100006,274.350006,271.940002,272.130005,255.891373,2806500
14/10/2019,271.790009,272.450012,271.480011,271.880005,255.656281,1215500
15/10/2019,272.869995,275.25,272.769989,274.51001,258.129303,1783800
16/10/2019,274.070007,274.730011,273.619995,274.079987,257.724945,1150800
17/10/2019,275.23999,275.720001,274.190002,274.820007,258.420868,3100600
18/10/2019,274.359985,274.970001,272.809998,273.690002,257.358246,1152200
21/10/2019,275.049988,275.720001,274.570007,275.600006,259.154358,3017500
22/10/2019,276.089996,276.329987,274.519989,274.630005,258.242157,1601500
23/10/2019,274.410004,275.480011,274.179993,275.440002,259.003845,1296500
24/10/2019,276.380005,276.51001,275.049988,275.890015,259.426971,2220600
25/10/2019,275.329987,277.540009,275.279999,277.040009,260.508331,5500900
28/10/2019,278.220001,279.070007,278.220001,278.649994,262.022339,1795900
29/10/2019,278.320007,279.429993,278.179993,278.470001,261.852997,1599200
30/10/2019,278.690002,279.690002,277.380005,279.450012,262.774597,1811300
31/10/2019,279.350006,279.350006,277.149994,278.549988,261.928253,2312100
01/11/2019,280.049988,281.209991,279.910004,281.200012,264.420135,2361900
04/11/2019,282.790009,282.899994,281.959991,282.320007,265.473297,3797500
05/11/2019,282.579987,282.820007,281.709991,281.959991,265.134766,2995600
06/11/2019,282.040009,282.339996,281.119995,282.109985,265.275757,1457200
07/11/2019,283.459991,284.230011,282.579987,283.109985,266.216125,2689600
08/11/2019,282.73999,283.799988,282,283.799988,266.86496,2328700
11/11/2019,282.429993,283.369995,282.23999,283.25,266.347778,1123700
12/11/2019,283.579987,284.720001,283.029999,283.809998,266.87439,1737600
13/11/2019,282.829987,284.320007,282.589996,283.929993,266.987213,1721400
14/11/2019,283.640015,284.399994,282.98999,284.309998,267.344574,2244000
15/11/2019,285.640015,286.429993,285,286.429993,269.338043,1892400
18/11/2019,286.179993,286.850006,285.709991,286.609985,269.507324,2278500
19/11/2019,287.23999,287.23999,285.880005,286.470001,269.375641,3212500
20/11/2019,285.910004,286.420013,283.890015,285.459991,268.425903,2816300
21/11/2019,285.519989,285.640015,284.170013,285.019989,268.012177,2307200
22/11/2019,285.75,285.859985,284.600006,285.649994,268.604614,1266500
25/11/2019,286.600006,287.839996,286.570007,287.820007,270.64505,2040300
26/11/2019,287.910004,288.679993,287.570007,288.399994,271.190491,1795700
27/11/2019,289.059998,289.779999,288.76001,289.76001,272.469391,1631500
29/11/2019,289.25,289.480011,288.480011,288.649994,271.425537,1988500
02/12/2019,289.029999,289.029999,285.839996,286.299988,269.21582,4416100
03/12/2019,283.519989,284.429993,282.100006,284.290009,267.325745,3236000
04/12/2019,285.410004,286.700012,285.070007,286.109985,269.037109,3188800
05/12/2019,286.829987,286.829987,285.290009,286.640015,269.535492,1597200
06/12/2019,288.579987,289.649994,288.549988,289.190002,271.93335,1609400
09/12/2019,288.869995,289.519989,288.269989,288.309998,271.105865,1478900
10/12/2019,288.309998,288.940002,287.350006,288.040009,270.85199,1822700
11/12/2019,288.450012,289.079987,288.079987,288.790009,271.55722,1835400
12/12/2019,288.850006,292.100006,288.609985,291.329987,273.945679,3276600
13/12/2019,291.089996,292.76001,290.299988,291.440002,274.049103,3519600
16/12/2019,293.26001,294.109985,293.220001,293.5,275.986145,3141900
17/12/2019,293.98999,294.190002,293.5,293.559998,276.042572,3658200
18/12/2019,294.019989,294.220001,293.570007,293.579987,276.061432,3294400
19/12/2019,293.779999,294.880005,293.75,294.799988,277.208588,2331600
20/12/2019,295.890015,296.76001,295.779999,296.299988,278.619049,4985600
23/12/2019,295.48999,295.529999,294.98999,295.160004,278.892151,2325200
24/12/2019,295.359985,295.399994,294.850006,295.160004,278.892151,1305900
26/12/2019,295.559998,296.690002,295.519989,296.670013,280.318909,2390300
27/12/2019,297.51001,297.51001,296.149994,296.670013,280.318909,2225400
30/12/2019,296.75,296.839996,294.51001,295.040009,278.778778,2345400
31/12/2019,294.529999,295.98999,294.170013,295.799988,279.496826,2512700
